mechanism_superfamily_final,classification_status_final,pair_count,trial_count,pair_share
Incretin-based,VERIFIED,587,558,0.49494097807757165
Unclassified long tail,UNCLASSIFIED_LONG_TAIL,188,161,0.15851602023608768
CNS/appetite,VERIFIED,83,74,0.0699831365935919
Amylin-based,VERIFIED,62,62,0.05227655986509275
Incretin-based,VERIFIED_ALIAS,53,43,0.04468802698145025
Incretin + amylin,VERIFIED,30,30,0.025295109612141653
Metabolic/energy expenditure,VERIFIED,27,27,0.022765598650927487
Undisclosed / insufficient public information,UNRESOLVED_PUBLIC_INFO,26,26,0.021922428330522766
Melanocortin,VERIFIED,17,17,0.01433389544688027
Lean-mass preservation,VERIFIED,13,13,0.010961214165261383
Renal/glucose transport,VERIFIED,11,11,0.00927487352445194
GI nutrient absorption,VERIFIED,8,8,0.006745362563237774
Amylin-based,VERIFIED_ALIAS,7,6,0.005902192242833052
Adipose signalling/RNAi,VERIFIED,5,5,0.0042158516020236085
GI nutrient absorption,VERIFIED_ALIAS,4,3,0.003372681281618887
Metabolic combination,VERIFIED_ALIAS,4,3,0.003372681281618887
Metabolic/FGF21 pathway,VERIFIED_ALIAS,4,4,0.003372681281618887
Mixed/unspecified,VERIFIED,4,4,0.003372681281618887
Oxytocin,VERIFIED,4,4,0.003372681281618887
GI nutrient absorption/metabolism,VERIFIED,3,3,0.002529510961214165
Glucagon pathway,VERIFIED,3,3,0.002529510961214165
Incretin + metabolic/hepatokine,VERIFIED,3,3,0.002529510961214165
Inflammation/metabolic,VERIFIED,3,3,0.002529510961214165
GI motility/appetite,VERIFIED_ALIAS,2,2,0.0016863406408094434
GI/CNS gut-brain appetite,VERIFIED,2,2,0.0016863406408094434
GI/pancreatic nutrient sensing,VERIFIED,2,2,0.0016863406408094434
Incretin + amylin,VERIFIED_ALIAS,2,2,0.0016863406408094434
Incretin + growth-factor,VERIFIED,2,2,0.0016863406408094434
Incretin pathway modulation,VERIFIED_ALIAS,2,1,0.0016863406408094434
Lean-mass preservation,VERIFIED_ALIAS,2,2,0.0016863406408094434
Leptin pathway,VERIFIED,2,2,0.0016863406408094434
Melanocortin,VERIFIED_ALIAS,2,2,0.0016863406408094434
Metabolic/insulin sensitisation,VERIFIED,2,2,0.0016863406408094434
Oxytocin,VERIFIED_ALIAS,2,2,0.0016863406408094434
Renal/glucose transport,VERIFIED_ALIAS,2,2,0.0016863406408094434
Adiponectin pathway,VERIFIED,1,1,0.0008431703204047217
Adipose signalling/RNAi,VERIFIED_ALIAS,1,1,0.0008431703204047217
CNS/appetite,VERIFIED_ALIAS,1,1,0.0008431703204047217
CNS/metabolic,VERIFIED,1,1,0.0008431703204047217
CNS/peripheral appetite-metabolic,VERIFIED,1,1,0.0008431703204047217
Cytokine/metabolic,VERIFIED,1,1,0.0008431703204047217
Exercise-mimetic/metabolic,VERIFIED_ALIAS,1,1,0.0008431703204047217
GI nutrient sensing/barrier,VERIFIED,1,1,0.0008431703204047217
Incretin + metabolic/hepatokine,VERIFIED_ALIAS,1,1,0.0008431703204047217
Inflammation/metabolic,VERIFIED_ALIAS,1,1,0.0008431703204047217
Metabolic/insulin-leptin sensitisation,VERIFIED,1,1,0.0008431703204047217
Metabolic/lipid handling,VERIFIED,1,1,0.0008431703204047217
Metabolic/oxidative stress,VERIFIED,1,1,0.0008431703204047217
