nct_id,canonical_name_final,lead_sponsor,lead_sponsor_class,brief_title,phase,overall_status,source_therapy_name,therapy_identity_final,mechanism_superfamily,mechanism_family,molecular_targets,mechanism_action,modality,agonist_order,incretin_based,classification_status,confidence,source_url,notes,scope_review_flag,classification_status_original,classification_status_final,mechanism_superfamily_final,mechanism_family_final,mechanism_classified,researched_but_publicly_undisclosed,unreviewed_long_tail
NCT01755676,orlistat,EMS,INDUSTRY,Evaluation of Orlistat as Adjuvant Treatment of Obesity in Adults,PHASE3,COMPLETED,orlistat,orlistat,GI nutrient absorption,lipase inhibition,gastric and pancreatic lipases,Gastrointestinal lipase inhibitor reducing dietary fat absorption,small molecule,,False,VERIFIED,high,,Peripheral gastrointestinal mechanism.,False,VERIFIED,VERIFIED,GI nutrient absorption,lipase inhibition,True,False,False
NCT02273804,topiramate,Assistance Publique - Hôpitaux de Paris,OTHER,Topiramate and Severe Obesity,PHASE3,COMPLETED,topiramate,topiramate,CNS/appetite,anticonvulsant/appetite,GABA-A; AMPA/kainate; carbonic anhydrase (pleiotropic),Pleiotropic CNS appetite-modulating effects,small molecule,,False,VERIFIED,medium,,Mechanism relevant to weight loss is multifactorial.,False,VERIFIED,VERIFIED,CNS/appetite,anticonvulsant/appetite,True,False,False
NCT02349243,entacapone,Kaichun Wu,OTHER,Effect of Entacapone on Bodyweight Loss in Obese Population,PHASE1; PHASE2,UNKNOWN,entacapone,entacapone,Metabolic/energy expenditure,FTO inhibition,FTO,FTO inhibition with downstream FOXO1 effects on hepatic gluconeogenesis and adipose thermogenesis,small molecule,,False,VERIFIED,high,https://pubmed.ncbi.nlm.nih.gov/30996080/,Repurposed FTO inhibitor programme.,False,VERIFIED,VERIFIED,Metabolic/energy expenditure,FTO inhibition,True,False,False
NCT02360774,canagliflozin,Beth Israel Deaconess Medical Center,OTHER,Mechanisms of Weight Loss With SGLT2 Inhibition,PHASE4,COMPLETED,canagliflozin,canagliflozin,Renal/glucose transport,SGLT2,SLC5A2 (SGLT2),SGLT2 inhibition increases urinary glucose excretion,small molecule,,False,VERIFIED,high,,Established SGLT2 inhibitor.,False,VERIFIED,VERIFIED,Renal/glucose transport,SGLT2,True,False,False
NCT02388568,lorcaserin,University of Pennsylvania,OTHER,Lifestyle Modification and Lorcaserin for Weight Loss Maintenance,,COMPLETED,lorcaserin,lorcaserin,CNS/appetite,serotonergic appetite,HTR2C (5-HT2C),5-HT2C receptor agonist,small molecule,mono,False,VERIFIED,high,,Serotonergic appetite suppressant; historically marketed.,False,VERIFIED,VERIFIED,CNS/appetite,serotonergic appetite,True,False,False
NCT02398669,lorcaserin hydrochloride,Eisai Inc.,INDUSTRY,A Single Dose Pharmacokinetic Study of Lorcaserin Hydrochloride in Obese Pediatric Subjects 6 to 11 Years of Age,PHASE1,COMPLETED,,lorcaserin hydrochloride,,,,,,,,UNMAPPED,,,,False,UNMAPPED,UNCLASSIFIED_LONG_TAIL,Unclassified long tail,Not individually reviewed,False,False,True
NCT02412631,lorcaserin,Mayo Clinic,OTHER,Addressing Post Cessation Weight Gain,PHASE2; PHASE3,TERMINATED,lorcaserin,lorcaserin,CNS/appetite,serotonergic appetite,HTR2C (5-HT2C),5-HT2C receptor agonist,small molecule,mono,False,VERIFIED,high,,Serotonergic appetite suppressant; historically marketed.,False,VERIFIED,VERIFIED,CNS/appetite,serotonergic appetite,True,False,False
NCT02412631,varenicline,Mayo Clinic,OTHER,Addressing Post Cessation Weight Gain,PHASE2; PHASE3,TERMINATED,,varenicline,,,,,,,,UNMAPPED,,,,False,UNMAPPED,UNCLASSIFIED_LONG_TAIL,Unclassified long tail,Not individually reviewed,False,False,True
NCT02453711,semaglutide,Novo Nordisk A/S,INDUSTRY,Investigation of Safety and Efficacy of Once-daily Semaglutide in Obese Subjects Without Diabetes Mellitus,PHASE2,COMPLETED,semaglutide,semaglutide,Incretin-based,GLP-1,GLP1R,GLP-1 receptor agonist,peptide,mono,True,VERIFIED,high,https://pubmed.ncbi.nlm.nih.gov/41054801/,Long-acting GLP-1 analogue.,False,VERIFIED,VERIFIED,Incretin-based,GLP-1,True,False,False
NCT02458313,dmxb-a,"University of Colorado, Denver",OTHER,Nicotinic Agonist Effects on BMI and Neuronal Response,PHASE1,COMPLETED,dmxb-a,DMXB-A,CNS/appetite,alpha7 nicotinic receptor,CHRNA7 (alpha7 nAChR),Partial agonism of alpha7 nicotinic acetylcholine receptors,small molecule,mono,False,VERIFIED,high,https://clinicaltrials.gov/study/NCT02458313,GTS-21/DMXB-A; experimental nicotinic agonist directly studied in overweight/obese adults.,False,VERIFIED,VERIFIED,CNS/appetite,alpha7 nicotinic receptor,True,False,False
