start_year,year_label,confirmed_started_count,ambiguous_same_month_count,ytd_upper_bound_count,future_planned_excluded,yoy_growth_confirmed
2015,2015,17,0,17,0,
2016,2016,32,0,32,0,0.8823529411764706
2017,2017,38,0,38,0,0.1875
2018,2018,35,0,35,0,-0.07894736842105265
2019,2019,40,0,40,0,0.1428571428571428
2020,2020,35,0,35,0,-0.125
2021,2021,60,0,60,0,0.7142857142857142
2022,2022,60,0,60,0,0.0
2023,2023,91,0,91,0,0.5166666666666666
2024,2024,146,0,146,0,0.6043956043956045
2025,2025,206,0,206,0,0.41095890410958913
2026,2026 YTD,200,9,209,17,
