sponsor_group_final,total_trials,recent_confirmed_starts,active_trials,early_stage_trials,phase3_or_later_trials,first_start_year,latest_start_year,unique_therapy_identities,focal_pair_count,verified_pair_count,mechanism_superfamily_breadth,share_of_industry_trials,share_of_recent_industry_starts,active_trial_share,phase3plus_share,trials_per_therapy_identity,trial_volume_rank
Novo Nordisk,138,78,47,71,56,2015,2026,35,169,141,7,0.19714285714285715,0.1550695825049702,0.34057971014492755,0.4057971014492754,3.942857142857143,1
Eli Lilly,103,76,49,38,48,2019,2026,24,124,112,5,0.14714285714285713,0.15109343936381708,0.47572815533980584,0.46601941747572817,4.291666666666667,2
Pfizer,29,21,12,15,6,2017,2026,11,34,28,2,0.041428571428571426,0.041749502982107355,0.41379310344827586,0.20689655172413793,2.6363636363636362,3
Amgen,24,20,11,14,8,2018,2026,6,26,23,2,0.03428571428571429,0.039761431411530816,0.4583333333333333,0.3333333333333333,4.0,4
Boehringer Ingelheim,18,14,6,14,2,2018,2026,9,23,20,2,0.025714285714285714,0.027833001988071572,0.3333333333333333,0.1111111111111111,2.0,5
"Fujian Shengdi Pharmaceutical Co., Ltd.",16,15,9,7,5,2023,2026,4,17,16,1,0.022857142857142857,0.02982107355864811,0.5625,0.3125,4.0,6
Rhythm Pharmaceuticals,16,7,5,1,7,2017,2025,3,16,16,1,0.022857142857142857,0.013916500994035786,0.3125,0.4375,5.333333333333333,7
"Hangzhou Zhongmei Huadong Pharmaceutical Co., Ltd.",14,13,11,6,5,2024,2026,9,22,19,3,0.02,0.02584493041749503,0.7857142857142857,0.35714285714285715,1.5555555555555556,8
Innovent Biologics (Suzhou) Co. Ltd.,14,10,6,7,6,2020,2026,7,19,17,2,0.02,0.019880715705765408,0.42857142857142855,0.42857142857142855,2.0,9
Gan & Lee Pharmaceuticals,14,12,8,9,3,2021,2026,3,15,15,1,0.02,0.02385685884691849,0.5714285714285714,0.21428571428571427,4.666666666666667,10
"Shanghai Minwei Biotechnology Co., Ltd",13,13,7,7,1,2024,2026,5,13,10,2,0.018571428571428572,0.02584493041749503,0.5384615384615384,0.07692307692307693,2.6,11
AstraZeneca,11,11,8,2,4,2023,2026,5,15,14,3,0.015714285714285715,0.02186878727634195,0.7272727272727273,0.36363636363636365,2.2,12
"BrightGene Bio-Medical Technology Co., Ltd.",11,11,7,8,0,2023,2026,3,14,14,2,0.015714285714285715,0.02186878727634195,0.6363636363636364,0.0,3.6666666666666665,13
"Beijing QL Biopharmaceutical Co.,Ltd",8,8,5,5,1,2023,2026,2,8,8,1,0.011428571428571429,0.015904572564612324,0.625,0.125,4.0,14
Kailera,7,7,6,2,3,2025,2026,3,8,8,1,0.01,0.013916500994035786,0.8571428571428571,0.42857142857142855,2.3333333333333335,15
"Vincentage Pharma Co., Ltd",7,7,2,5,1,2023,2026,3,8,6,1,0.01,0.013916500994035786,0.2857142857142857,0.14285714285714285,2.3333333333333335,16
Zealand Pharma,7,5,2,5,0,2021,2026,3,7,6,2,0.01,0.009940357852882704,0.2857142857142857,0.0,2.3333333333333335,17
Regeneron Pharmaceuticals,6,6,5,2,1,2024,2026,7,9,6,3,0.008571428571428572,0.011928429423459244,0.8333333333333334,0.16666666666666666,0.8571428571428571,18
Roche,6,5,5,3,0,2025,2026,6,9,8,3,0.008571428571428572,0.009940357852882704,0.8333333333333334,0.0,1.0,19
Hanmi Pharmaceutical Company Limited,6,4,2,4,1,2018,2025,5,6,6,3,0.008571428571428572,0.007952286282306162,0.3333333333333333,0.16666666666666666,1.2,20
Novartis Pharmaceuticals,6,0,0,1,0,2017,2022,3,6,4,1,0.008571428571428572,0.0,0.0,0.0,2.0,21
"Hangzhou Sciwind Biosciences Co., Ltd.",6,6,5,2,3,2025,2026,2,7,7,1,0.008571428571428572,0.011928429423459244,0.8333333333333334,0.5,3.0,22
Structure Therapeutics,6,6,3,1,2,2023,2026,1,6,6,1,0.008571428571428572,0.011928429423459244,0.5,0.3333333333333333,6.0,23
"Chendu DIAO Pharmaceutical Group CO., LTD.",5,5,1,3,1,2024,2026,1,5,5,1,0.007142857142857143,0.009940357852882704,0.2,0.2,5.0,24
Glaceum,5,0,0,4,0,2018,2022,1,5,5,1,0.007142857142857143,0.0,0.0,0.0,5.0,25
"Shandong Suncadia Medicine Co., Ltd.",5,5,1,2,1,2024,2025,1,5,5,1,0.007142857142857143,0.009940357852882704,0.2,0.2,5.0,26
Kallyope Inc.,4,3,0,3,0,2022,2023,7,8,2,1,0.005714285714285714,0.005964214711729622,0.0,0.0,0.5714285714285714,27
"CSPC Baike (Shandong) Biopharmaceutical Co., Ltd.",4,3,1,1,1,2022,2025,2,4,3,1,0.005714285714285714,0.005964214711729622,0.25,0.25,2.0,28
Empros Pharma AB,4,3,1,2,0,2020,2025,2,6,6,1,0.005714285714285714,0.005964214711729622,0.25,0.0,2.0,29
"Guangdong Raynovent Biotech Co., Ltd",4,4,3,2,1,2023,2025,2,5,5,2,0.005714285714285714,0.007952286282306162,0.75,0.25,2.0,30
"Jiangsu Hansoh Pharmaceutical Co., Ltd.",4,3,2,2,1,2023,2026,2,5,4,1,0.005714285714285714,0.005964214711729622,0.5,0.25,2.0,31
MindRank AI Ltd,4,4,4,2,1,2023,2026,1,4,4,1,0.005714285714285714,0.007952286282306162,1.0,0.25,4.0,32
"The United Bio-Technology (Hengqin) Co., Ltd.",4,2,3,0,3,2025,2026,1,4,4,1,0.005714285714285714,0.003976143141153081,0.75,0.75,4.0,33
"Biomed Industries, Inc.",3,3,1,1,0,2024,2026,7,8,3,2,0.004285714285714286,0.005964214711729622,0.3333333333333333,0.0,0.42857142857142855,34
"NGM Biopharmaceuticals, Inc",3,0,0,3,0,2016,2020,3,4,3,2,0.004285714285714286,0.0,0.0,0.0,1.0,35
Shionogi,3,2,0,2,0,2022,2023,3,4,2,1,0.004285714285714286,0.003976143141153081,0.0,0.0,1.0,36
AbbVie,3,3,2,2,0,2023,2026,2,3,3,1,0.004285714285714286,0.005964214711729622,0.6666666666666666,0.0,1.5,37
"CSPC Ouyi Pharmaceutical Co., Ltd.",3,3,3,2,0,2026,2026,2,3,3,1,0.004285714285714286,0.005964214711729622,1.0,0.0,1.5,38
"Carmot Therapeutics, Inc.",3,2,1,0,0,2022,2024,2,3,3,1,0.004285714285714286,0.003976143141153081,0.3333333333333333,0.0,1.5,39
"Chia Tai Tianqing Pharmaceutical Group Co., Ltd.",3,2,3,2,1,2025,2026,2,3,1,1,0.004285714285714286,0.003976143141153081,1.0,0.3333333333333333,1.5,40
"Janssen Research & Development, LLC",3,0,0,1,0,2018,2018,2,8,7,1,0.004285714285714286,0.0,0.0,0.0,1.5,41
Sciwind Biosciences APAC CO Pty. Ltd.,3,0,0,2,0,2020,2022,2,4,4,1,0.004285714285714286,0.0,0.0,0.0,1.5,42
Verdiva Bio Dev Limited,3,3,2,1,0,2025,2026,2,4,3,1,0.004285714285714286,0.005964214711729622,0.6666666666666666,0.0,1.5,43
"Rivus Pharmaceuticals, Inc.",3,2,0,2,0,2022,2025,1,3,3,1,0.004285714285714286,0.003976143141153081,0.0,0.0,3.0,44
Laekna Limited,2,2,2,2,0,2024,2025,4,4,0,0,0.002857142857142857,0.003976143141153081,1.0,0.0,0.5,45
Alnylam Pharmaceuticals,2,2,2,2,0,2026,2026,3,3,3,2,0.002857142857142857,0.003976143141153081,1.0,0.0,0.6666666666666666,46
Arrowhead Pharmaceuticals,2,2,2,2,0,2024,2025,3,3,3,2,0.002857142857142857,0.003976143141153081,1.0,0.0,0.6666666666666666,47
"BioAge Labs, Inc.",2,2,1,0,0,2024,2026,3,3,3,3,0.002857142857142857,0.003976143141153081,0.5,0.0,0.6666666666666666,48
Eccogene,2,2,1,1,0,2025,2026,3,3,3,2,0.002857142857142857,0.003976143141153081,0.5,0.0,0.6666666666666666,49
Eisai Inc.,2,0,0,1,1,2015,2017,2,2,0,0,0.002857142857142857,0.0,0.0,0.5,1.0,50
Hudson Biotech,2,2,2,0,1,2026,2026,2,2,1,1,0.002857142857142857,0.003976143141153081,1.0,0.5,1.0,51
LG Chem,2,1,0,1,0,2020,2023,2,2,1,1,0.002857142857142857,0.0019880715705765406,0.0,0.0,1.0,52
Saniona,2,0,0,0,0,2019,2021,2,2,0,0,0.002857142857142857,0.0,0.0,0.0,1.0,53
VIVUS LLC,2,0,0,0,2,2016,2019,2,2,1,1,0.002857142857142857,0.0,0.0,1.0,1.0,54
Veru Inc.,2,2,1,0,0,2024,2026,2,3,3,2,0.002857142857142857,0.003976143141153081,0.5,0.0,1.0,55
"Vivani Medical, Inc",2,2,1,2,0,2024,2026,2,2,2,1,0.002857142857142857,0.003976143141153081,0.5,0.0,1.0,56
"Aardvark Therapeutics, Inc.",2,0,0,0,0,2021,2022,1,2,2,1,0.002857142857142857,0.0,0.0,0.0,2.0,57
"Altimmune, Inc.",2,0,0,1,0,2020,2022,1,2,2,1,0.002857142857142857,0.0,0.0,0.0,2.0,58
"Ascletis Pharma (China) Co., Limited",2,2,2,0,2,2026,2026,1,2,2,1,0.002857142857142857,0.003976143141153081,1.0,1.0,2.0,59
Corxel Pharmaceuticals,2,2,1,1,0,2025,2026,1,2,2,1,0.002857142857142857,0.003976143141153081,0.5,0.0,2.0,60
ERX Pharmaceuticals,2,1,1,1,0,2019,2026,1,2,2,1,0.002857142857142857,0.0019880715705765406,0.5,0.0,2.0,61
"Guangzhou Chia Tai Innovative Pharmaceutical Co., Ltd.",2,2,0,1,0,2024,2024,1,2,0,0,0.002857142857142857,0.003976143141153081,0.0,0.0,2.0,62
Innovent Biologics Technology Limited (Shanghai R&D Center),2,2,2,2,0,2025,2025,1,2,2,1,0.002857142857142857,0.003976143141153081,1.0,0.0,2.0,63
MedImmune LLC,2,0,0,1,0,2018,2018,1,2,2,1,0.002857142857142857,0.0,0.0,0.0,2.0,64
NodThera Limited,2,2,1,0,0,2025,2025,1,2,2,1,0.002857142857142857,0.003976143141153081,0.5,0.0,2.0,65
Regor Pharmaceuticals Inc.,2,2,0,0,0,2024,2025,1,2,2,1,0.002857142857142857,0.003976143141153081,0.0,0.0,2.0,66
"Tonghua Dongbao Pharmaceutical Co.,Ltd",2,2,1,1,0,2024,2025,1,2,2,1,0.002857142857142857,0.003976143141153081,0.5,0.0,2.0,67
"Immunwork, Inc.",1,1,0,1,0,2024,2024,7,7,0,0,0.0014285714285714286,0.0019880715705765406,0.0,0.0,0.14285714285714285,68
"Beijing Dongfang Biotech Co., Ltd.",1,1,0,1,0,2023,2023,3,3,1,1,0.0014285714285714286,0.0019880715705765406,0.0,0.0,0.3333333333333333,69
Actimed Therapeutics Ltd,1,1,1,0,0,2025,2025,2,2,1,1,0.0014285714285714286,0.0019880715705765406,1.0,0.0,0.5,70
Biophytis,1,1,1,0,0,2026,2026,2,2,2,2,0.0014285714285714286,0.0019880715705765406,1.0,0.0,0.5,71
Carnot Laboratories,1,0,1,0,1,2026,2026,2,2,2,1,0.0014285714285714286,0.0,1.0,1.0,0.5,72
"Halia Therapeutics, Inc.",1,1,0,0,0,2026,2026,2,2,2,2,0.0014285714285714286,0.0019880715705765406,0.0,0.0,0.5,73
Heilpflanzenwohl AG,1,0,0,0,1,2017,2017,2,2,0,0,0.0014285714285714286,0.0,0.0,1.0,0.5,74
"Huons Co., Ltd.",1,1,1,1,0,2026,2026,2,2,0,0,0.0014285714285714286,0.0019880715705765406,1.0,0.0,0.5,75
Ikaria Bioscience Pty Ltd,1,1,1,1,0,2025,2025,2,2,1,1,0.0014285714285714286,0.0019880715705765406,1.0,0.0,0.5,76
NuSirt Biopharma,1,0,0,0,0,2018,2018,2,2,0,0,0.0014285714285714286,0.0,0.0,0.0,0.5,77
"Palatin Technologies, Inc",1,1,1,0,0,2024,2024,2,2,2,2,0.0014285714285714286,0.0019880715705765406,1.0,0.0,0.5,78
RANI Therapeutics,1,1,1,1,0,2025,2025,2,2,1,1,0.0014285714285714286,0.0019880715705765406,1.0,0.0,0.5,79
"S1 Biopharma, Inc.",1,1,1,0,0,2025,2025,2,2,0,0,0.0014285714285714286,0.0019880715705765406,1.0,0.0,0.5,80
"Skye Bioscience, Inc.",1,1,1,0,0,2024,2024,2,2,1,1,0.0014285714285714286,0.0019880715705765406,1.0,0.0,0.5,81
"Terrestrial Bio, Inc.",1,1,1,1,0,2026,2026,2,2,1,1,0.0014285714285714286,0.0019880715705765406,1.0,0.0,0.5,82
WW International Inc,1,1,0,0,1,2024,2024,2,2,1,1,0.0014285714285714286,0.0019880715705765406,0.0,1.0,0.5,83
Zomagen Biosciences Ltd.,1,1,0,0,0,2025,2025,2,2,1,1,0.0014285714285714286,0.0019880715705765406,0.0,0.0,0.5,84
35Pharma Inc,1,1,0,1,0,2024,2024,1,1,1,1,0.0014285714285714286,0.0019880715705765406,0.0,0.0,1.0,85
Allysta Pharmaceutical,1,0,0,1,0,2021,2021,1,1,1,1,0.0014285714285714286,0.0,0.0,0.0,1.0,86
"Alveus Therapeutics, Inc.",1,1,1,1,0,2025,2025,1,1,1,1,0.0014285714285714286,0.0019880715705765406,1.0,0.0,1.0,87
Alvogen Korea,1,0,0,0,1,2021,2021,1,1,1,1,0.0014285714285714286,0.0,0.0,1.0,1.0,88
Antag Therapeutics,1,1,1,0,0,2026,2026,1,2,2,1,0.0014285714285714286,0.0019880715705765406,1.0,0.0,1.0,89
Atridia Pty Ltd.,1,1,1,1,0,2026,2026,1,1,0,0,0.0014285714285714286,0.0019880715705765406,1.0,0.0,1.0,90
"Beijing Suncadia Pharmaceuticals Co., Ltd",1,1,1,1,0,2026,2026,1,1,0,0,0.0014285714285714286,0.0019880715705765406,1.0,0.0,1.0,91
Biohaven Therapeutics Ltd.,1,1,1,0,0,2025,2025,1,1,0,0,0.0014285714285714286,0.0019880715705765406,1.0,0.0,1.0,92
Biomea Fusion Inc.,1,1,1,1,0,2025,2025,1,1,1,1,0.0014285714285714286,0.0019880715705765406,1.0,0.0,1.0,93
BrightGene New Bio-Medical Technology(Wuxi) Co.Ltd.,1,1,1,0,1,2024,2024,1,2,2,1,0.0014285714285714286,0.0019880715705765406,1.0,1.0,1.0,94
Bristol-Myers Squibb,1,0,0,1,0,2019,2019,1,1,1,1,0.0014285714285714286,0.0,0.0,0.0,1.0,95
"CSPC Megalith Biopharmaceutical Co.,Ltd.",1,0,1,1,0,2026,2026,1,1,0,0,0.0014285714285714286,0.0,1.0,0.0,1.0,96
"CSPC ZhongQi Pharmaceutical Technology Co., Ltd.",1,1,1,1,0,2026,2026,1,1,1,1,0.0014285714285714286,0.0019880715705765406,1.0,0.0,1.0,97
Carmot Australia First Pty Ltd,1,1,0,1,0,2023,2023,1,1,1,1,0.0014285714285714286,0.0019880715705765406,0.0,0.0,1.0,98
Corbus Pharmaceuticals Inc.,1,1,1,1,0,2025,2025,1,1,1,1,0.0014285714285714286,0.0019880715705765406,1.0,0.0,1.0,99
Cytoki Pharma,1,1,0,0,0,2024,2024,1,1,1,1,0.0014285714285714286,0.0019880715705765406,0.0,0.0,1.0,100
Daewoong Pharmaceutical Co. LTD.,1,1,1,1,0,2026,2026,1,3,3,1,0.0014285714285714286,0.0019880715705765406,1.0,0.0,1.0,101
"Dongguan HEC Biopharmaceutical R&D Co., Ltd.",1,0,0,1,0,2021,2021,1,1,1,1,0.0014285714285714286,0.0,0.0,0.0,1.0,102
EMS,1,0,0,0,1,2016,2016,1,1,1,1,0.0014285714285714286,0.0,0.0,1.0,1.0,103
Eurofarma Laboratorios S.A.,1,1,0,0,1,2026,2026,1,1,0,0,0.0014285714285714286,0.0019880715705765406,0.0,1.0,1.0,104
"GT Metabolic Solutions, Inc.",1,1,1,0,0,2026,2026,1,1,1,1,0.0014285714285714286,0.0019880715705765406,1.0,0.0,1.0,105
Gene PreDiT,1,0,0,0,0,2016,2016,1,1,0,0,0.0014285714285714286,0.0,0.0,0.0,1.0,106
"Gila Therapeutics, Inc.",1,1,1,0,1,2026,2026,1,1,1,1,0.0014285714285714286,0.0019880715705765406,1.0,1.0,1.0,107
"Glyscend, Inc.",1,1,0,0,0,2024,2024,1,1,1,1,0.0014285714285714286,0.0019880715705765406,0.0,0.0,1.0,108
Gmax Biopharm Australia Pty Ltd.,1,0,0,1,0,2021,2021,1,1,1,1,0.0014285714285714286,0.0,0.0,0.0,1.0,109
Gubra A/S,1,1,1,1,0,2026,2026,1,1,1,1,0.0014285714285714286,0.0019880715705765406,1.0,0.0,1.0,110
HK inno.N Corporation,1,1,1,0,1,2025,2025,1,1,0,0,0.0014285714285714286,0.0019880715705765406,1.0,1.0,1.0,111
"Hangzhou Jiuyuan Gene Engineering Co. Ltd.,",1,1,1,0,1,2024,2024,1,1,1,1,0.0014285714285714286,0.0019880715705765406,1.0,1.0,1.0,112
"Helicore Biopharma, Inc.",1,1,0,1,0,2025,2025,1,1,0,0,0.0014285714285714286,0.0019880715705765406,0.0,0.0,1.0,113
"HongKong Curegene Innovation Co., Limited",1,1,1,1,0,2026,2026,1,1,1,1,0.0014285714285714286,0.0019880715705765406,1.0,0.0,1.0,114
"Immunis, Inc.",1,1,1,0,0,2024,2024,1,1,0,0,0.0014285714285714286,0.0019880715705765406,1.0,0.0,1.0,115
InSilico Medicine Hong Kong Limited,1,1,1,1,0,2026,2026,1,1,0,0,0.0014285714285714286,0.0019880715705765406,1.0,0.0,1.0,116
Inversago Pharma Inc.,1,1,0,0,0,2023,2023,1,1,0,0,0.0014285714285714286,0.0019880715705765406,0.0,0.0,1.0,117
