mechanism_superfamily_final,2015–2022,2023–2026 YTD,historical_share,recent_share,share_change_pp
Incretin-based,167,454,0.5422077922077922,0.7104851330203443,16.82773408125521
Amylin-based,11,55,0.03571428571428571,0.08607198748043818,5.035770176615246
Incretin + amylin,2,29,0.006493506493506494,0.04538341158059468,3.888990508708819
CNS/appetite,56,26,0.18181818181818182,0.0406885758998435,-14.112960591833831
Lean-mass preservation,1,14,0.003246753246753247,0.02190923317683881,1.8662479930085563
Metabolic/energy expenditure,15,12,0.048701298701298704,0.018779342723004695,-2.992195597829401
Melanocortin,9,10,0.02922077922077922,0.01564945226917058,-1.357132695160864
GI nutrient absorption,4,8,0.012987012987012988,0.012519561815336464,-0.046745117167652436
Adipose signalling/RNAi,0,6,0.0,0.009389671361502348,0.9389671361502347
Renal/glucose transport,8,5,0.025974025974025976,0.00782472613458529,-1.8149299839440685
Inflammation/metabolic,0,4,0.0,0.006259780907668232,0.6259780907668232
Incretin + growth-factor,0,2,0.0,0.003129890453834116,0.3129890453834116
Incretin pathway modulation,0,2,0.0,0.003129890453834116,0.3129890453834116
Leptin pathway,0,2,0.0,0.003129890453834116,0.3129890453834116
Incretin + metabolic/hepatokine,2,2,0.006493506493506494,0.003129890453834116,-0.3363616039672378
CNS/metabolic,0,1,0.0,0.001564945226917058,0.1564945226917058
CNS/peripheral appetite-metabolic,0,1,0.0,0.001564945226917058,0.1564945226917058
Cytokine/metabolic,0,1,0.0,0.001564945226917058,0.1564945226917058
Exercise-mimetic/metabolic,0,1,0.0,0.001564945226917058,0.1564945226917058
GI nutrient sensing/barrier,0,1,0.0,0.001564945226917058,0.1564945226917058
GI/pancreatic nutrient sensing,1,1,0.003246753246753247,0.001564945226917058,-0.1681808019836189
GI nutrient absorption/metabolism,2,1,0.006493506493506494,0.001564945226917058,-0.4928561266589436
Mixed/unspecified,3,1,0.00974025974025974,0.001564945226917058,-0.8175314513342682
Adiponectin pathway,1,0,0.003246753246753247,0.0,-0.3246753246753247
Metabolic/insulin-leptin sensitisation,1,0,0.003246753246753247,0.0,-0.3246753246753247
Metabolic/lipid handling,1,0,0.003246753246753247,0.0,-0.3246753246753247
Metabolic/oxidative stress,1,0,0.003246753246753247,0.0,-0.3246753246753247
GI motility/appetite,2,0,0.006493506493506494,0.0,-0.6493506493506493
GI/CNS gut-brain appetite,2,0,0.006493506493506494,0.0,-0.6493506493506493
Metabolic/insulin sensitisation,2,0,0.006493506493506494,0.0,-0.6493506493506493
Glucagon pathway,3,0,0.00974025974025974,0.0,-0.974025974025974
Metabolic combination,4,0,0.012987012987012988,0.0,-1.2987012987012987
Metabolic/FGF21 pathway,4,0,0.012987012987012988,0.0,-1.2987012987012987
Oxytocin,6,0,0.01948051948051948,0.0,-1.948051948051948
