mechanism_superfamily_final,unique_therapy_identities,active_therapy_identities,recent_therapy_identities,median_trials_per_identity,early_stage_identities,mid_stage_identities,late_stage_identities,postmarketing_identities,phase3plus_identities,phase3plus_identity_share,early_identity_share,recent_identity_share,verified_pair_count,unique_trials,active_verified_pairs,recent_verified_pairs,active_pair_share,recent_pair_share,early_pair_share,mid_pair_share,late_pair_share,postmarketing_pair_share
Incretin-based,69,53,59,3.0,14,20,25,10,35,0.5072463768115942,0.2028985507246377,0.855072463768116,640,596,321,454,0.5015625,0.709375,0.303125,0.24375,0.278125,0.1265625
CNS/appetite,19,10,12,2.0,5,5,1,7,8,0.42105263157894735,0.2631578947368421,0.631578947368421,84,75,24,26,0.2857142857142857,0.30952380952380953,0.16666666666666666,0.30952380952380953,0.10714285714285714,0.36904761904761907
Lean-mass preservation,9,7,9,1.0,3,6,0,0,0,0.0,0.3333333333333333,1.0,15,15,9,14,0.6,0.9333333333333333,0.3333333333333333,0.6666666666666666,0.0,0.0
Amylin-based,8,7,8,4.0,2,3,3,0,3,0.375,0.25,1.0,69,68,38,55,0.5507246376811594,0.7971014492753623,0.4927536231884058,0.2318840579710145,0.2753623188405797,0.0
Metabolic/energy expenditure,8,3,4,1.5,3,3,0,1,1,0.125,0.375,0.5,27,27,8,12,0.2962962962962963,0.4444444444444444,0.5185185185185185,0.18518518518518517,0.07407407407407407,0.14814814814814814
Adipose signalling/RNAi,6,6,6,1.0,6,0,0,0,0,0.0,1.0,1.0,6,6,6,6,1.0,1.0,1.0,0.0,0.0,0.0
Renal/glucose transport,5,3,3,3.0,0,2,0,3,3,0.6,0.0,0.6,13,13,4,5,0.3076923076923077,0.38461538461538464,0.07692307692307693,0.46153846153846156,0.07692307692307693,0.38461538461538464
Incretin + amylin,4,3,4,4.5,1,1,2,0,2,0.5,0.25,1.0,32,32,19,29,0.59375,0.90625,0.5,0.0625,0.4375,0.0
Melanocortin,4,4,4,2.0,1,2,1,0,1,0.25,0.25,1.0,19,19,7,10,0.3684210526315789,0.5263157894736842,0.05263157894736842,0.5789473684210527,0.3684210526315789,0.0
Mixed/unspecified,4,1,1,1.0,0,0,0,3,3,0.75,0.0,0.25,4,4,1,1,0.25,0.25,0.0,0.0,0.0,0.75
GI nutrient absorption,3,2,2,3.0,0,1,0,2,2,0.6666666666666666,0.0,0.6666666666666666,12,10,4,8,0.3333333333333333,0.6666666666666666,0.16666666666666666,0.3333333333333333,0.08333333333333333,0.3333333333333333
Incretin + metabolic/hepatokine,3,1,1,1.0,2,1,0,0,0,0.0,0.6666666666666666,0.3333333333333333,4,4,1,2,0.25,0.5,0.75,0.25,0.0,0.0
Inflammation/metabolic,3,2,3,1.0,0,3,0,0,0,0.0,0.0,1.0,4,4,2,4,0.5,1.0,0.0,1.0,0.0,0.0
Metabolic combination,2,0,0,2.0,0,0,1,1,2,1.0,0.0,0.0,4,3,0,0,0.0,0.0,0.0,0.25,0.5,0.25
Metabolic/FGF21 pathway,2,0,0,2.0,2,0,0,0,0,0.0,1.0,0.0,4,4,0,0,0.0,0.0,1.0,0.0,0.0,0.0
GI nutrient absorption/metabolism,2,0,1,1.5,1,1,0,0,0,0.0,0.5,0.5,3,3,0,1,0.0,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.0,0.0
Glucagon pathway,2,0,0,1.5,2,0,0,0,0,0.0,1.0,0.0,3,3,0,0,0.0,0.0,1.0,0.0,0.0,0.0
Oxytocin,1,1,0,6.0,0,1,0,0,0,0.0,0.0,0.0,6,6,1,0,0.16666666666666666,0.0,0.16666666666666666,0.6666666666666666,0.0,0.0
