nct_id,brief_title,official_title,phase,overall_status,start_date,primary_completion_date,completion_date,first_posted_date,last_update_date,enrollment,enrollment_type,lead_sponsor,lead_sponsor_class,conditions,primary_purpose,allocation,intervention_model,masking,sex,minimum_age,maximum_age,healthy_volunteers,brief_summary,start_date_parsed,pharmacological_interventions,primary_outcome_measures,primary_outcome_timeframes,primary_outcome_descriptions,review_text,include_signal,exclude_signal,primary_outcome_text,direct_weight_outcome_signal,same_programme_weight_evidence_signal,development_context_signal,development_enabling_signal,positive_obesity_signal,review_category,auto_review_category,final_decision,final_decision_reason,final_decision_source,phase_group,phase_order,status_group,lead_sponsor_clean,sponsor_class_clean,focal_therapy_pair_count,focal_source_label_count,focal_identity_count,verified_mechanism_pair_count,multi_focal_trial,start_date_raw,start_year,start_month,start_day,start_date_precision,year_display,start_date_exact_for_comparison,start_timing_vs_snapshot,started_by_snapshot_conservative
NCT07226778,Comparing the Extent to Which Maridebart Cafraglutide (AMG 133) is Made Available in the Body When Administered Using Two Subcutaneous (SC) Presentations,"A Phase 1, Open-label, Randomized, Parallel-group Study to Assess the Relative Bioavailability of Maridebart Cafraglutide (AMG 133) as Two Subcutaneous Presentations in Participants Living With Overweight or Obesity",PHASE1,COMPLETED,2025-10-10,2026-05-28,2026-05-28,2025-11-10,2026-06-17,348.0,ACTUAL,Amgen,INDUSTRY,Overweight; Obesity,BASIC_SCIENCE,RANDOMIZED,PARALLEL,NONE,ALL,18 Years,60 Years,False,The main objective of this trial is to evaluate the pharmacokinetics (PK) of maridebart cafraglutide administered as a single dose using two different SC presentations in participants living with overweight or obesity.,2025-10-10,Maridebart Cafraglutide,Area Under the Plasma Concentration Time Curve from Time Zero to Infinity (AUCinf) of Maridebart Cafraglutide; Area Under the Plasma Concentration Time Curve from Time Zero to Time of Last Quantifiable Concentration (AUClast) of Maridebart Cafraglutide; Maximum Observed Plasma Concentration (Cmax) of Maridebart Cafraglutide,Up to Day 120,,"comparing the extent to which maridebart cafraglutide (amg 133) is made available in the body when administered using two subcutaneous (sc) presentations a phase 1, open-label, randomized, parallel-group study to assess the relative bioavailability of maridebart cafraglutide (amg 133) as two subcutaneous presentations in participants living with overweight or obesity overweight; obesity the main objective of this trial is to evaluate the pharmacokinetics (pk) of maridebart cafraglutide administered as a single dose using two different sc presentations in participants living with overweight or obesity. maridebart cafraglutide area under the plasma concentration time curve from time zero to infinity (aucinf) of maridebart cafraglutide; area under the plasma concentration time curve from time zero to time of last quantifiable concentration (auclast) of maridebart cafraglutide; maximum observed plasma concentration (cmax) of maridebart cafraglutide ",False,False,area under the plasma concentration time curve from time zero to infinity (aucinf) of maridebart cafraglutide; area under the plasma concentration time curve from time zero to time of last quantifiable concentration (auclast) of maridebart cafraglutide; maximum observed plasma concentration (cmax) of maridebart cafraglutide ,False,True,True,True,True,LIKELY_INCLUDE,LIKELY_INCLUDE,INCLUDE,Automatic include retained without further audit because the trial had strong weight-outcome and/or same-programme obesity-development evidence.,AUTO_STRONG_INCLUDE,Phase 1,2,Completed,Amgen,INDUSTRY,1,1,1,1,False,2025-10-10,2025,10,10,DAY,2025,2025-10-10,BEFORE_SNAPSHOT,True
NCT07339423,AMAZE 1: A Research Study Investigating How Well the Medicine NNC0487-0111 Helps People With Excess Body Weight Lose Weight,Efficacy and Safety of NNC0487-0111 s.c. Once-weekly in Participants With Obesity (AMAZE 1),PHASE3,RECRUITING,2026-02-24,2029-06-26,2029-08-21,2026-01-14,2026-07-09,1150.0,ESTIMATED,Novo Nordisk A/S,INDUSTRY,Obesity,TREATMENT,RANDOMIZED,PARALLEL,QUADRUPLE,ALL,18 Years,,False,The purpose of this clinical study is to find out if NNC0487-0111 is safe and effective for treating people who have excess body weight. There are 2 study treatments in this study taken as injections under the skin once a week. Participants will either get NNC0487-0111 (the treatment being tested) or Placebo (a treatment that has no active medicine in it). Which treatment participants get is decided by chance.,2026-02-24,NNC0487-0111; Placebo (matched to NNC0487-0111),Relative change in body weight,From baseline (week 0) to week 84,Measured as percentage of body weight.,amaze 1: a research study investigating how well the medicine nnc0487-0111 helps people with excess body weight lose weight efficacy and safety of nnc0487-0111 s.c. once-weekly in participants with obesity (amaze 1) obesity the purpose of this clinical study is to find out if nnc0487-0111 is safe and effective for treating people who have excess body weight. there are 2 study treatments in this study taken as injections under the skin once a week. participants will either get nnc0487-0111 (the treatment being tested) or placebo (a treatment that has no active medicine in it). which treatment participants get is decided by chance. nnc0487-0111; placebo (matched to nnc0487-0111) relative change in body weight measured as percentage of body weight.,True,False,relative change in body weight measured as percentage of body weight.,True,True,False,False,True,LIKELY_INCLUDE,LIKELY_INCLUDE,INCLUDE,Automatic include retained without further audit because the trial had strong weight-outcome and/or same-programme obesity-development evidence.,AUTO_STRONG_INCLUDE,Phase 3,6,Active / recruiting,Novo Nordisk A/S,INDUSTRY,1,1,1,1,False,2026-02-24,2026,2,24,DAY,2026 YTD,2026-02-24,BEFORE_SNAPSHOT,True
NCT05931380,A Study of Once-Daily Oral Orforglipron (LY3502970) in Japanese Adult Participants With Obesity Disease,"A Phase 3, Randomized, Double-Blind Study to Investigate the Efficacy and Safety of Once-Daily Oral LY3502970 Compared With Placebo in Japanese Adult Participants With Obesity Disease",PHASE3,COMPLETED,2023-07-31,2025-06-19,2025-06-19,2023-07-05,2026-07-20,238.0,ACTUAL,Eli Lilly and Company,INDUSTRY,Obesity,TREATMENT,RANDOMIZED,PARALLEL,DOUBLE,ALL,18 Years,,False,The main purpose of this study is to investigate the efficacy and safety of oral orforglipron in participants with obesity disease with obesity-related health problems.,2023-07-31,Orforglipron; Placebo,Percent Change From Baseline in Body Weight at Week 72; Percentage of Participants Who Achieved With Greater Than or Equal to (≥) 5% Body Weight Reduction From Baseline,"Baseline, Week 72; Baseline to Week 72","Values reported as ""LS Mean"" are model-based estimates (MBE) of the adjusted (unconditional) treatment effect. MBEs was calculated using an analysis of covariance (ANCOVA) model with the following variables: treatment group, baseline value, baseline Body Mass Index (BMI) category (\<35 kilogram per meter square \[kg/m²\] or ≥35 kg/m²), and stratification factors (sex and baseline type 2 diabetes status). Strata were defined by joint levels of sex (female, male) and baseline type 2 diabetes status (yes, no).; Percentage of participants with ≥5% body weight reduction was analysed by Logistic regression with the following variables: treatment group, baseline value, baseline BMI category (\<35 kg/m² or ≥35 kg/m²), and stratification factors (sex and baseline type 2 diabetes status). Stratification factors were defined by the combination of sex (female, male) and baseline type 2 diabetes status (yes, no). The model also allowed the treatment effect to vary across baseline values and stratification factors.","a study of once-daily oral orforglipron (ly3502970) in japanese adult participants with obesity disease a phase 3, randomized, double-blind study to investigate the efficacy and safety of once-daily oral ly3502970 compared with placebo in japanese adult participants with obesity disease obesity the main purpose of this study is to investigate the efficacy and safety of oral orforglipron in participants with obesity disease with obesity-related health problems. orforglipron; placebo percent change from baseline in body weight at week 72; percentage of participants who achieved with greater than or equal to (≥) 5% body weight reduction from baseline values reported as ""ls mean"" are model-based estimates (mbe) of the adjusted (unconditional) treatment effect. mbes was calculated using an analysis of covariance (ancova) model with the following variables: treatment group, baseline value, baseline body mass index (bmi) category (\<35 kilogram per meter square \[kg/m²\] or ≥35 kg/m²), and stratification factors (sex and baseline type 2 diabetes status). strata were defined by joint levels of sex (female, male) and baseline type 2 diabetes status (yes, no).; percentage of participants with ≥5% body weight reduction was analysed by logistic regression with the following variables: treatment group, baseline value, baseline bmi category (\<35 kg/m² or ≥35 kg/m²), and stratification factors (sex and baseline type 2 diabetes status). stratification factors were defined by the combination of sex (female, male) and baseline type 2 diabetes status (yes, no). the model also allowed the treatment effect to vary across baseline values and stratification factors.",True,False,"percent change from baseline in body weight at week 72; percentage of participants who achieved with greater than or equal to (≥) 5% body weight reduction from baseline values reported as ""ls mean"" are model-based estimates (mbe) of the adjusted (unconditional) treatment effect. mbes was calculated using an analysis of covariance (ancova) model with the following variables: treatment group, baseline value, baseline body mass index (bmi) category (\<35 kilogram per meter square \[kg/m²\] or ≥35 kg/m²), and stratification factors (sex and baseline type 2 diabetes status). strata were defined by joint levels of sex (female, male) and baseline type 2 diabetes status (yes, no).; percentage of participants with ≥5% body weight reduction was analysed by logistic regression with the following variables: treatment group, baseline value, baseline bmi category (\<35 kg/m² or ≥35 kg/m²), and stratification factors (sex and baseline type 2 diabetes status). stratification factors were defined by the combination of sex (female, male) and baseline type 2 diabetes status (yes, no). the model also allowed the treatment effect to vary across baseline values and stratification factors.",True,True,False,False,True,LIKELY_INCLUDE,LIKELY_INCLUDE,INCLUDE,Automatic include retained without further audit because the trial had strong weight-outcome and/or same-programme obesity-development evidence.,AUTO_STRONG_INCLUDE,Phase 3,6,Completed,Eli Lilly and Company,INDUSTRY,1,1,1,1,False,2023-07-31,2023,7,31,DAY,2023,2023-07-31,BEFORE_SNAPSHOT,True
NCT05147415,Study of Tesomet With Open-label Extension in Subjects With Hypothalamic Obesity (HO),"A Phase 2b, Double-blind, Randomized, Placebo-controlled, Dose-finding, Multi-center, 36-week Safety and Efficacy Study With Open-label Extension (OLE) Period of Tesomet in Subjects With Hypothalamic Obesity",PHASE2,WITHDRAWN,2021-11-11,2022-12-09,2022-12-09,2021-12-07,2022-12-13,0.0,ACTUAL,Saniona,INDUSTRY,Hypothalamic Obesity,TREATMENT,RANDOMIZED,PARALLEL,QUADRUPLE,ALL,18 Years,,False,"This study will evaluate the safety and efficacy of Tesomet (tesofensine + metoprolol) in subjects 18 years of age or older, with HO",2021-11-11,Tesomet,Body weight (%),Baseline to Week 36,Percentage change in body weight,"study of tesomet with open-label extension in subjects with hypothalamic obesity (ho) a phase 2b, double-blind, randomized, placebo-controlled, dose-finding, multi-center, 36-week safety and efficacy study with open-label extension (ole) period of tesomet in subjects with hypothalamic obesity hypothalamic obesity this study will evaluate the safety and efficacy of tesomet (tesofensine + metoprolol) in subjects 18 years of age or older, with ho tesomet body weight (%) percentage change in body weight",True,False,body weight (%) percentage change in body weight,True,True,False,False,True,LIKELY_INCLUDE,LIKELY_INCLUDE,INCLUDE,Automatic include retained without further audit because the trial had strong weight-outcome and/or same-programme obesity-development evidence.,AUTO_STRONG_INCLUDE,Phase 2,4,Stopped early,Saniona,INDUSTRY,1,1,1,0,False,2021-11-11,2021,11,11,DAY,2021,2021-11-11,BEFORE_SNAPSHOT,True
NCT05890950,"A Study to Evaluate the Safety, Pharmacokinetics, and Pharmacodynamics of K-757 and K-833 in Overweight/Obese Patients With Type 2 Diabetes","A 28-Day Multiple Dose Study to Evaluate the Safety, Tolerability, Pharmacokinetics, and Pharmacodynamics of K-757 and K-833 in Overweight/Obese Patients With Type 2 Diabetes Mellitus",PHASE1,COMPLETED,2023-03-13,2023-07-12,2023-07-12,2023-06-06,2023-10-05,24.0,ACTUAL,Kallyope Inc.,INDUSTRY,Obesity; Type 2 Diabetes Mellitus in Obese,TREATMENT,RANDOMIZED,PARALLEL,TRIPLE,ALL,18 Years,70 Years,False,"This is a multiple dose study to evaluate the safety, tolerability, PK, and PD of K-757 and K-833 when co-administered in overweight/obese patients with Type 2 diabetes mellitus (T2DM).",2023-03-13,K-757 and K-833; Matching placebo to K-757 and K-833,Proportion of participants who experienced 1 or more treatment-emergent AEs; Proportion of participants who discontinued study medication due to an AE,Up to Day 42 +/- 2days,After treatment with the combination of K-757 and K-833,"a study to evaluate the safety, pharmacokinetics, and pharmacodynamics of k-757 and k-833 in overweight/obese patients with type 2 diabetes a 28-day multiple dose study to evaluate the safety, tolerability, pharmacokinetics, and pharmacodynamics of k-757 and k-833 in overweight/obese patients with type 2 diabetes mellitus obesity; type 2 diabetes mellitus in obese this is a multiple dose study to evaluate the safety, tolerability, pk, and pd of k-757 and k-833 when co-administered in overweight/obese patients with type 2 diabetes mellitus (t2dm). k-757 and k-833; matching placebo to k-757 and k-833 proportion of participants who experienced 1 or more treatment-emergent aes; proportion of participants who discontinued study medication due to an ae after treatment with the combination of k-757 and k-833",False,False,proportion of participants who experienced 1 or more treatment-emergent aes; proportion of participants who discontinued study medication due to an ae after treatment with the combination of k-757 and k-833,False,False,True,False,False,MANUAL_REVIEW,MANUAL_REVIEW,INCLUDE,K-757/K-833 are an obesity-development combination with published weight-loss data and a dedicated obesity efficacy trial.,MANUAL_REVIEW,Phase 1,2,Completed,Kallyope Inc.,INDUSTRY,1,1,1,1,False,2023-03-13,2023,3,13,DAY,2023,2023-03-13,BEFORE_SNAPSHOT,True
NCT07163650,Evaluating Anti-Obesity Medications 6 Months After Metabolic Surgery,"A Randomized, Double-Blind, Placebo-Controlled, Single-Center Study of Efsubaglutide Alfa in Patients Remaining Obese 6 Months After Metabolic Surgery",PHASE4,RECRUITING,2025-09-16,2026-11-30,2027-02-28,2025-09-09,2026-01-27,60.0,ESTIMATED,The Affiliated Nanjing Drum Tower Hospital of Nanjing University Medical School,OTHER,Obesity; Weight Loss; Metabolic Surgery,TREATMENT,RANDOMIZED,PARALLEL,QUADRUPLE,ALL,18 Years,55 Years,False,This clinical trial aims to evaluate the weight-loss efficacy and safety of efsubaglutide alfa in patients who remain obese 6 months after metabolic surgery.,2025-09-16,Efsubaglutide Alfa Injection,Change in %TWL from baseline to endpoint,24 weeks from enrollment,"%TWL = (\[baseline weight - weight at follow-up\]/baseline weight) × 100%. The measurement of body weight is in kilograms. %TWL represents the percentage of total weight loss, measured in percent. This indicator reflects the percentage of weight loss from the baseline. The mean and standard deviation of %TWL were calculated for subjects within each group. Subsequently, intergroup comparisons were performed to calculate p-values. If p \< 0.05, pairwise comparisons were further conducted. Based on the final results, the differences in weight loss among groups were evaluated.","evaluating anti-obesity medications 6 months after metabolic surgery a randomized, double-blind, placebo-controlled, single-center study of efsubaglutide alfa in patients remaining obese 6 months after metabolic surgery obesity; weight loss; metabolic surgery this clinical trial aims to evaluate the weight-loss efficacy and safety of efsubaglutide alfa in patients who remain obese 6 months after metabolic surgery. efsubaglutide alfa injection change in %twl from baseline to endpoint %twl = (\[baseline weight - weight at follow-up\]/baseline weight) × 100%. the measurement of body weight is in kilograms. %twl represents the percentage of total weight loss, measured in percent. this indicator reflects the percentage of weight loss from the baseline. the mean and standard deviation of %twl were calculated for subjects within each group. subsequently, intergroup comparisons were performed to calculate p-values. if p \< 0.05, pairwise comparisons were further conducted. based on the final results, the differences in weight loss among groups were evaluated.",True,True,"change in %twl from baseline to endpoint %twl = (\[baseline weight - weight at follow-up\]/baseline weight) × 100%. the measurement of body weight is in kilograms. %twl represents the percentage of total weight loss, measured in percent. this indicator reflects the percentage of weight loss from the baseline. the mean and standard deviation of %twl were calculated for subjects within each group. subsequently, intergroup comparisons were performed to calculate p-values. if p \< 0.05, pairwise comparisons were further conducted. based on the final results, the differences in weight loss among groups were evaluated.",True,True,False,False,True,MANUAL_REVIEW,MANUAL_REVIEW,INCLUDE,Direct obesity/weight-treatment evidence outweighs contextual exclusion signal,MANUAL_REVIEW,Phase 4,7,Active / recruiting,The Affiliated Nanjing Drum Tower Hospital of Nanjing University Medical School,OTHER,1,1,1,1,False,2025-09-16,2025,9,16,DAY,2025,2025-09-16,BEFORE_SNAPSHOT,True
NCT07354880,Effect of Tirzepatide on Cardiovascular and Metabolic Parameters in Obese Adult Patients With Congenital Heart Disease,Effect of Tirzepatide on Cardiovascular and Metabolic Parameters in Obese Adult Patients With Congenital Heart Disease,PHASE4,NOT_YET_RECRUITING,2026-01-20,2027-06-30,2027-12-31,2026-01-21,2026-01-21,30.0,ESTIMATED,University Medical Centre Ljubljana,OTHER,Obesity & Overweight; Adult Congenital Heart Disease,TREATMENT,RANDOMIZED,PARALLEL,DOUBLE,ALL,18 Years,70 Years,False,"Several drugs have been shown effective in the treatment of obesity, with concomitant favourable cardiovascular effects. Today, there are no studies on novel anti-obesity drugs in patients with adult congenital heart disease (ACHD). Therefore, the investigators aim to study the effects of the anti-obesity drug tirzepatide (Munjaro) on cardiovascular and metabolic factors in obese patients with ACHD.

In a 24-week, randomized, open-label, placebo-controlled clinical trial the investigators will compare the effects of tirzepatide versus placebo in ACHD patients diagnosed with obesity. Patients will be randomized in a 1:1 ratio to either the intervention or placebo group. Participants will have monthly visits to monitor progress. At the beginning and end of the study, a full investigation protocol will be performed.",2026-01-20,Treatment with placebo; Treatment with tirzapatide,Change in exercise capacity after 6 months of treatment with tirzepatide.; Change in left ventricular systolic function after 6 months of treatment with tirzepatide.; Change in cholesterol levels after 6 months of treatment with tirzepatide.,From enrollment (visit 1) to the end of the treatment at 6 months (visit 6).,"• Exercise capacity will be measured by maximum oxygen consumption at cardiopulmonary exercise testing, expressed in mL/kg/min.; Left ventricular systolic function will be evaluated echocardiographically by global longuitudinal strain (GLS), expressed in %; Patient's blood will be drawn between 8 and 9 am, after fasting. Cholesterol concentration will be expressed as mmol/L.","effect of tirzepatide on cardiovascular and metabolic parameters in obese adult patients with congenital heart disease effect of tirzepatide on cardiovascular and metabolic parameters in obese adult patients with congenital heart disease obesity & overweight; adult congenital heart disease several drugs have been shown effective in the treatment of obesity, with concomitant favourable cardiovascular effects. today, there are no studies on novel anti-obesity drugs in patients with adult congenital heart disease (achd). therefore, the investigators aim to study the effects of the anti-obesity drug tirzepatide (munjaro) on cardiovascular and metabolic factors in obese patients with achd.

in a 24-week, randomized, open-label, placebo-controlled clinical trial the investigators will compare the effects of tirzepatide versus placebo in achd patients diagnosed with obesity. patients will be randomized in a 1:1 ratio to either the intervention or placebo group. participants will have monthly visits to monitor progress. at the beginning and end of the study, a full investigation protocol will be performed. treatment with placebo; treatment with tirzapatide change in exercise capacity after 6 months of treatment with tirzepatide.; change in left ventricular systolic function after 6 months of treatment with tirzepatide.; change in cholesterol levels after 6 months of treatment with tirzepatide. • exercise capacity will be measured by maximum oxygen consumption at cardiopulmonary exercise testing, expressed in ml/kg/min.; left ventricular systolic function will be evaluated echocardiographically by global longuitudinal strain (gls), expressed in %; patient's blood will be drawn between 8 and 9 am, after fasting. cholesterol concentration will be expressed as mmol/l.",True,False,"change in exercise capacity after 6 months of treatment with tirzepatide.; change in left ventricular systolic function after 6 months of treatment with tirzepatide.; change in cholesterol levels after 6 months of treatment with tirzepatide. • exercise capacity will be measured by maximum oxygen consumption at cardiopulmonary exercise testing, expressed in ml/kg/min.; left ventricular systolic function will be evaluated echocardiographically by global longuitudinal strain (gls), expressed in %; patient's blood will be drawn between 8 and 9 am, after fasting. cholesterol concentration will be expressed as mmol/l.",False,False,False,False,True,LIKELY_INCLUDE,LIKELY_INCLUDE,INCLUDE,"Retain automatic include after sanity audit: the study centrally evaluates obesity/weight treatment or a genuine obesity-drug development programme, with no conflicting primary indication identified.",AUTO_SANITY_AUDIT,Phase 4,7,Active / recruiting,University Medical Centre Ljubljana,OTHER,1,1,1,0,False,2026-01-20,2026,1,20,DAY,2026 YTD,2026-01-20,BEFORE_SNAPSHOT,True
NCT06830343,"The Safety, Tolerability, and Pharmacokinetics of of SYH9017 in Chinese Participants With Overweight and Obesity","A Phase I Clinical Trial to Evaluate the Safety, Tolerability, and Pharmacokinetic of SYH9017 in Chinese Participants With Overweight and Obesity Following Single and Multiple Doses",PHASE1,RECRUITING,2025-02-27,2026-08-01,2026-10-01,2025-02-17,2026-04-06,66.0,ESTIMATED,"CSPC Baike (Shandong) Biopharmaceutical Co., Ltd.",INDUSTRY,Overweight or Obesity,TREATMENT,RANDOMIZED,PARALLEL,QUADRUPLE,ALL,18 Years,60 Years,False,"This is a randomized, double-blind, single-center, dose-escalation, single ascending dose and multiple ascending dose study of SYH9017 in Chinese participants with overweight and obesity.",2025-02-27,Placebo; SYH9017; Wegovy ®,Incidence of AEs following single-dose administration of SYH9017 Description:; Incidence of AEs following multiple doses administration of SYH9017AEs of SYH 9017 following multiple doses,up to 49 days after the dosing; up to 140 days after the last dosing,,"the safety, tolerability, and pharmacokinetics of of syh9017 in chinese participants with overweight and obesity a phase i clinical trial to evaluate the safety, tolerability, and pharmacokinetic of syh9017 in chinese participants with overweight and obesity following single and multiple doses overweight or obesity this is a randomized, double-blind, single-center, dose-escalation, single ascending dose and multiple ascending dose study of syh9017 in chinese participants with overweight and obesity. placebo; syh9017; wegovy ® incidence of aes following single-dose administration of syh9017 description:; incidence of aes following multiple doses administration of syh9017aes of syh 9017 following multiple doses ",False,False,incidence of aes following single-dose administration of syh9017 description:; incidence of aes following multiple doses administration of syh9017aes of syh 9017 following multiple doses ,False,False,True,False,False,MANUAL_REVIEW,MANUAL_REVIEW,INCLUDE,Industry early-phase development study in an obesity/overweight population,MANUAL_REVIEW,Phase 1,2,Active / recruiting,"CSPC Baike (Shandong) Biopharmaceutical Co., Ltd.",INDUSTRY,1,1,1,0,False,2025-02-27,2025,2,27,DAY,2025,2025-02-27,BEFORE_SNAPSHOT,True
NCT04660643,A Study of Tirzepatide (LY3298176) in Participants With Obesity or Overweight for the Maintenance of Weight Loss,"Efficacy and Safety of Tirzepatide Once Weekly Versus Placebo for Maintenance of Weight Loss in Participants Without Type 2 Diabetes Who Have Obesity or Are Overweight With Weight-Related Comorbidities: A Randomized, Double-Blind, Placebo-Controlled Trial (SURMOUNT-4)",PHASE3,COMPLETED,2021-03-29,2023-04-25,2023-05-18,2020-12-09,2024-05-22,783.0,ACTUAL,Eli Lilly and Company,INDUSTRY,Obesity; Overweight,TREATMENT,RANDOMIZED,PARALLEL,DOUBLE,ALL,18 Years,,False,This was a study of tirzepatide in participants with obesity or overweight. The main purpose was to learn more about how tirzepatide maintained body weight loss. The study had two phases: a lead-in phase in which all participants took tirzepatide and a treatment phase in which participants either continued tirzepatide or switched to placebo. The study lasted about 2 years (25 visits).,2021-03-29,Tirzepatide,Percent Change From Randomization in Body Weight at Week 88,"Randomization (Week 36), Week 88",Least square (LS) mean was analysed by mixed model repeated measures (MMRM) model with randomization + analysis country + sex + interactive web response system (IWRS) MTD at Week 36 + treatment + time + treatment\*time (Type III sum of squares) as variables.,"a study of tirzepatide (ly3298176) in participants with obesity or overweight for the maintenance of weight loss efficacy and safety of tirzepatide once weekly versus placebo for maintenance of weight loss in participants without type 2 diabetes who have obesity or are overweight with weight-related comorbidities: a randomized, double-blind, placebo-controlled trial (surmount-4) obesity; overweight this was a study of tirzepatide in participants with obesity or overweight. the main purpose was to learn more about how tirzepatide maintained body weight loss. the study had two phases: a lead-in phase in which all participants took tirzepatide and a treatment phase in which participants either continued tirzepatide or switched to placebo. the study lasted about 2 years (25 visits). tirzepatide percent change from randomization in body weight at week 88 least square (ls) mean was analysed by mixed model repeated measures (mmrm) model with randomization + analysis country + sex + interactive web response system (iwrs) mtd at week 36 + treatment + time + treatment\*time (type iii sum of squares) as variables.",True,False,percent change from randomization in body weight at week 88 least square (ls) mean was analysed by mixed model repeated measures (mmrm) model with randomization + analysis country + sex + interactive web response system (iwrs) mtd at week 36 + treatment + time + treatment\*time (type iii sum of squares) as variables.,False,True,False,False,True,LIKELY_INCLUDE,LIKELY_INCLUDE,INCLUDE,Automatic include retained without further audit because the trial had strong weight-outcome and/or same-programme obesity-development evidence.,AUTO_STRONG_INCLUDE,Phase 3,6,Completed,Eli Lilly and Company,INDUSTRY,1,1,1,1,False,2021-03-29,2021,3,29,DAY,2021,2021-03-29,BEFORE_SNAPSHOT,True
NCT05532020,An Open-Label Study of Diazoxide Choline in Patients With Genetic Obesities,An Open-Label Study to Assess the Preliminary Efficacy and Safety of DCCR (Diazoxide Choline) Extended-Release Tablets in Patients With Genetic Obesities,PHASE2,UNKNOWN,2023-01,,,2022-09-08,2022-09-08,30.0,ESTIMATED,"Soleno Therapeutics, Inc.",INDUSTRY,SH2B1 Deficiency Obesity; Obesity Associated With PCSK1 Mutation (rs6232 Variant); SIM1 Deficiency Obesity,TREATMENT,,SINGLE_GROUP,NONE,ALL,5 Years,,False,"This is a phase 2 open-label, one-arm, clinical study to evaluate the efficacy and safety of DCCR (diazoxide choline) extended-release tablets over 1 year of treatment, in patients with genetic obesities.",2023-01-01,DCCR (diazoxide choline) extended-release tablets,Proportion of participants who achieve at least 5% body weight reduction,Baseline to Week 26,Proportion of participants who achieve at least 5% body weight reduction,"an open-label study of diazoxide choline in patients with genetic obesities an open-label study to assess the preliminary efficacy and safety of dccr (diazoxide choline) extended-release tablets in patients with genetic obesities sh2b1 deficiency obesity; obesity associated with pcsk1 mutation (rs6232 variant); sim1 deficiency obesity this is a phase 2 open-label, one-arm, clinical study to evaluate the efficacy and safety of dccr (diazoxide choline) extended-release tablets over 1 year of treatment, in patients with genetic obesities. dccr (diazoxide choline) extended-release tablets proportion of participants who achieve at least 5% body weight reduction proportion of participants who achieve at least 5% body weight reduction",True,False,proportion of participants who achieve at least 5% body weight reduction proportion of participants who achieve at least 5% body weight reduction,True,True,False,False,True,LIKELY_INCLUDE,LIKELY_INCLUDE,INCLUDE,Automatic include retained without further audit because the trial had strong weight-outcome and/or same-programme obesity-development evidence.,AUTO_STRONG_INCLUDE,Phase 2,4,Unknown,"Soleno Therapeutics, Inc.",INDUSTRY,1,1,1,1,False,2023-01,2023,1,,MONTH,2023,,BEFORE_SNAPSHOT,True
