therapy_identity_final,trial_count,pair_count,source_label_count,mechanism_superfamily_final,mechanism_family_final,molecular_targets,mechanism_action,modality,agonist_order,incretin_based,identity_classification_state,has_mapping_conflict,mapping_conflict_detail
semaglutide,145,147,4,Incretin-based,GLP-1,GLP1R,GLP-1 receptor agonist,peptide,mono,True,VERIFIED,False,
tirzepatide,91,91,1,Incretin-based,GLP-1/GIP,GLP1R; GIPR,Dual GLP-1/GIP receptor agonist,peptide,dual,True,VERIFIED,False,
liraglutide,59,59,1,Incretin-based,GLP-1,GLP1R,GLP-1 receptor agonist,peptide,mono,True,VERIFIED,False,
cagrilintide,29,30,3,Amylin-based,amylin,AMY1R; AMY2R; AMY3R; CTR,Long-acting amylin/calcitonin receptor agonist,peptide,multi,False,VERIFIED,False,
naltrexone + bupropion,24,24,1,CNS/appetite,opioid + catecholamine,OPRM1; NET/DAT pathways,Opioid receptor antagonism plus noradrenergic/dopaminergic appetite modulation,small-molecule combination,,False,VERIFIED,False,
zenagamtide,22,22,1,Incretin + amylin,GLP-1/amylin,GLP1R; amylin receptors; CTR,"Unimolecular GLP-1, amylin and calcitonin receptor agonist",peptide,multi,True,VERIFIED,False,
maridebart cafraglutide,21,21,1,Incretin-based,GLP-1 agonism + GIP antagonism,GLP1R; GIPR,GLP-1 receptor agonism plus GIP receptor antagonism,antibody-peptide conjugate,,True,VERIFIED,False,
orforglipron,21,21,1,Incretin-based,GLP-1,GLP1R,GLP-1 receptor agonist,small molecule,mono,True,VERIFIED,False,
eloralintide,19,19,1,Amylin-based,amylin,AMY1R (preferential); AMY3R; CTR,"Selective amylin receptor agonist, preferential for AMY1R",peptide,multi,False,VERIFIED,False,
mazdutide,18,18,1,Incretin-based,GLP-1/glucagon,GLP1R; GCGR,Dual GLP-1/glucagon receptor agonist,peptide,dual,True,VERIFIED,False,
ribupatide,18,18,1,Incretin-based,GLP-1/GIP,GLP1R; GIPR,Dual GLP-1/GIP receptor agonist,peptide,dual,True,VERIFIED,False,
retatrutide,15,15,1,Incretin-based,GLP-1/GIP/glucagon,GLP1R; GIPR; GCGR,Triple GLP-1/GIP/glucagon receptor agonist,peptide,triple,True,VERIFIED,False,
bofanglutide,14,14,3,Incretin-based,GLP-1,GLP1R,Long-acting GLP-1 receptor agonist,peptide,mono,True,VERIFIED,False,
phentermine + topiramate,14,14,1,CNS/appetite,sympathomimetic + anticonvulsant,monoaminergic pathways; GABA/glutamate pathways,Appetite suppression through complementary CNS mechanisms,small-molecule combination,,False,VERIFIED,False,
setmelanotide,14,14,1,Melanocortin,MC4R,MC4R,Melanocortin-4 receptor agonist,peptide,mono,False,VERIFIED,False,
berobenatide,13,13,1,Incretin-based,GLP-1,GLP1R,Long-acting biased GLP-1 receptor agonist,peptide,mono,True,VERIFIED,False,
metformin,13,13,1,Metabolic/energy expenditure,insulin sensitisation/metabolic,mitochondrial complex I; AMPK-associated pathways,Pleiotropic insulin-sensitising and metabolic effects,small molecule,,False,VERIFIED,False,
phentermine,13,13,1,CNS/appetite,sympathomimetic,noradrenergic/monoaminergic pathways,Sympathomimetic appetite suppression,small molecule,,False,VERIFIED,False,
ecnoglutide,12,12,2,Incretin-based,GLP-1,GLP1R,cAMP-biased GLP-1 receptor agonist,peptide,mono,True,VERIFIED,False,
bgm0504,10,13,6,Incretin-based,GLP-1/GIP,GLP1R; GIPR,Dual GLP-1/GIP receptor agonist,peptide,dual,True,VERIFIED,False,
survodutide,10,10,1,Incretin-based,GLP-1/glucagon,GLP1R; GCGR,Dual GLP-1/glucagon receptor agonist,peptide,dual,True,VERIFIED,False,
poterepatide,9,9,1,Incretin-based,GLP-1/GIP,GLP1R; GIPR,Dual GLP-1/GIP receptor agonist,peptide,dual,True,VERIFIED,False,
exenatide,8,9,4,Incretin-based,GLP-1,GLP1R,GLP-1 receptor agonist,peptide,mono,True,VERIFIED,False,
mwn109,8,8,1,Incretin-based,GLP-1/GIP/glucagon,GLP1R; GIPR; GCGR,Triple GLP-1/GIP/glucagon receptor agonist,peptide,triple,True,VERIFIED,False,
vct220,8,8,4,Incretin-based,GLP-1,GLP1R,GLP-1 receptor agonist,small molecule,mono,True,VERIFIED,False,
azd6234,7,7,1,Amylin-based,amylin,amylin receptors,Selective amylin receptor agonist,peptide,multi,False,VERIFIED,False,
cagrilintide + semaglutide,7,7,1,Incretin + amylin,amylin + GLP-1 combination,AMY1R/AMY2R/AMY3R; CTR; GLP1R,Combination of amylin-receptor agonism and GLP-1 receptor agonism,peptide combination,combination,True,VERIFIED,False,
danuglipron,7,7,1,Incretin-based,GLP-1,GLP1R,GLP-1 receptor agonist,small molecule,mono,True,VERIFIED,False,
hrs-7535,7,7,2,Incretin-based,GLP-1,GLP1R,GLP-1 receptor agonist,small molecule,mono,True,VERIFIED,False,
orlistat,7,7,1,GI nutrient absorption,lipase inhibition,gastric and pancreatic lipases,Gastrointestinal lipase inhibitor reducing dietary fat absorption,small molecule,,False,VERIFIED,False,
ubt251,7,7,1,Incretin-based,GLP-1/GIP/glucagon,GLP1R; GIPR; GCGR,Triple GLP-1/GIP/glucagon receptor agonist,peptide,triple,True,VERIFIED,False,
aleniglipron,6,6,1,Incretin-based,GLP-1,GLP1R,Biased GLP-1 receptor agonist,small molecule,mono,True,VERIFIED,False,
oxytocin,6,6,2,Oxytocin,oxytocin receptor,OXTR,Oxytocin receptor agonist,peptide,mono,False,VERIFIED,False,
petrelintide,6,6,2,Amylin-based,amylin,amylin receptors; CTR,Long-acting human amylin analogue,peptide,multi,False,VERIFIED,False,
